CA Owner
A-Trust
"AC Camerfirma, S.A."
Actalis
Agence Nationale de Certification Electronique
Agencia Notarial de Certificación (ANCERT)
Amazon Trust Services
AOL
Asseco Data Systems S.A. (previously Unizeto Certum)
Athens Exchange S.A. (Athex)
Autoridad de Certificacion Firmaprofesional
Autoridad de Certificación (ANF AC)
Buypass
Byte Computer S.A.
Carillon Information Security Inc.
CertEurope France
Certicámara
Certigna
Certipost s.a./n.v.
certSIGN
China Financial Certification Authority (CFCA)
China Internet Network Information Center (CNNIC)
Chunghwa Telecom
Cisco
Collegio de Registradores Mercantile (Spanish Property & Commerce Registry)
ComSign
Consejo General de la Abogacía Española
"Consorci Administració Oberta de Catalunya (Consorci AOC, CATCert)"
Cybertrust Japan / JCSI
D-Trust
DATEV eG
Department of Defence Australia
Deutsche Telekom Security GmbH
"Deutscher Sparkassen Verlag GmbH (S-TRUST, DSV-Gruppe)"
DigiCert
Digidentity B.V.
"Disig, a.s."
Docaposte Certinomis SAS
DocuSign (OpenTrust/Keynectis)
e-commerce monitoring GmbH
e-Guven Elektronik Bilgi Guvenligi A.S.
E-Tugra
Echoworx
EDICOM
eMudhra Technologies Limited
Entrust
Eviden
Financijska agencija (Fina)
"Global Digital Cybersecurity Authority Co., Ltd. (Formerly Guang Dong Certificate Authority (GDCA))"
GlobalSign nv-sa
GoDaddy
Google Trust Services LLC
"Government of Brazil, Instituto Nacional de Tecnologia da Informação (ITI)"
"Government of Finland, Population Register Centre’s (Väestörekisterikeskus, VRK)"
"Government of France (ANSSI, DCSSI)"
"Government of Hong Kong (SAR), Hongkong Post, Certizen"
"Government of India, Ministry of Communications & Information Technology, Controller of Certifying Authorities (CCA)"
"Government of Japan, Ministry of Internal Affairs and Communications"
"Government of Korea, KLID"
"Government of Latvia, Latvian State Radio & Television Centre (LVRTC)"
"Government of Lithuania, Registru Centras"
"Government of Mexico, Autoridad Certificadora Raiz de la Secretaria de Economia"
"Government of Portugal, Sistema de Certificação Electrónica do Estado (SCEE) / Electronic Certification System of the State"
"Government of Saudi Arabia, NCDC"
"Government of South Africa, Post Office Trust Centre"
"Government of Spain, Autoritat de Certificació de la Comunitat Valenciana (ACCV)"
"Government of Spain, Dirección General de la Policía – Ministerio del Interior – España."
"Government of Spain, Fábrica Nacional de Moneda y Timbre (FNMT)"
"Government of Spain, Ministerio de Trabajo e Inmigración (MTIN)"
Government of Sweden (Försäkringskassan)
"Government of Taiwan, Government Root Certification Authority (GRCA)"
"Government of The Netherlands, PKIoverheid (Logius)"
"Government of Turkey, Kamu Sertifikasyon Merkezi (Kamu SM)"
"Government of Uruguay, Agency for E-Government and Information Society (AGESIC)"
"Government of Venezuela, Superintendencia de Servicios de Certificación Electrónica (SUSCERTE)"
HALCOM d.d.
HARICA
"IdenTrust Services, LLC"
Image-X Enterprises Inc
Inera AB (SITHS)
Internet Security Research Group
Izenpe S.A.
Japan Local Authority Information Systems (J-LIS)
Korea Information Security Agency (KISA)
Krajowa Izba Rozliczeniowa S.A. (KIR)
LAWtrust
LuxTrust
Macao Post and Telecommunications Bureau
Microsec Ltd.
Microsoft Corporation
MULTICERT
NAVER Cloud Trust Services
Netlock
Netrust Pte Ltd
Nets DanID
Network Solutions
NISZ Nemzeti Infokommunikációs Szolgáltató Zrt.
NLB Nova Ljubljanska Banka d.d. Ljubljana
Notarius
OISTE
"Open Access Technology International, Inc. (OATI)"
Orange Polska S.A.
Personal I.D. LTD
Pos Digicert Sdn. Bhd (Malaysia)
Post of Serbia
Post of Slovenia
PostSignum
"První certifikační autorita, a.s."
QuoVadis
"SECOM Trust Systems Co., Ltd."
Sectigo
"Shanghai Electronic Certification Authority Co., Ltd."
SI-TRUST
SK ID Solutions AS
Skaitmeninio sertifikavimo centras (SSC)
SSL.com
Start Commercial (StartCom) Ltd.
"Swiss BIT, Swiss Federal Office of Information Technology, Systems and Telecommunication (FOITT)"
Swisscom (Switzerland) Ltd
SwissSign AG
Taiwan-CA Inc. (TWCA)
Telekom Applied Business Malaysia (TMCA)
Telia Company
Thailand National Root Certificate Authority (Electronic Transactions Development Agency)
"The Uruguayan Post, “El Correo Uruguayo”"
TrustCor Systems
TrustFactory(Pty)Ltd
Trustis
TurkTrust
U.S. Federal Public Key Infrastructure (US FPKI)
"Viking Cloud, Inc."
Visa
WoSign CA Limited
Zetes
Let's Encrypt
